Top,btm,code,productCode,name,batchN,date,edate
40117C278BPHYCK3,4011723C2D2GAQE3,16462024/04/15071803808,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C8492P2YEE3,401172B7FB2SKYV3,16462024/04/15071803808,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117CD0D1P2G3N3,4011722943236N73,16462024/04/15071803808,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117CB7B7PH7OK3,401172C0032PECU3,16462024/04/15071803808,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C0DFCPEWAW3,401172D16F2B0JH3,16462024/04/15071803808,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117CB220PBIDB3,401172EF13232GJ3,16462024/04/15071803808,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C2C7FPU1XB3,40117218F9277383,16462024/04/15071903809,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C16B9P5RIQ3,40117261682ZDC63,16462024/04/15071903809,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C2AC8PRMDK3,401172886F2C5OK3,16462024/04/15071903809,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117CD57FPPZKT3,401172D3342X3GZ3,16462024/04/15071903809,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C2B5FPB65Q3,401172D02323RVR3,16462024/04/15071903809,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C1D14P8JPE3,401172C33A2HATU3,16462024/04/15071903809,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C177BPE0SW3,4011725C852H4HT3,16462024/04/15071903810,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C6DEAPJP2Q3,401172A3142XCBA3,16462024/04/15071903810,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C7ADEPH9ZQ3,401172D9802VIOE3,16462024/04/15071903810,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C496APMT8K3,401172CFFD28AS53,16462024/04/15071903810,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C3104PRLQZ3,401172C6212XOTF3,16462024/04/15071903810,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C76C1P7W2H3,401172D3442C3823,16462024/04/15071903810,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
40117C6801PE3HQ3,401172114C2B89O3,16462024/04/15071903811,F413P429,普尔莱克幼儿婴儿配方奶粉 一段,BN1646,2024/04/15,2026/04/15
